# Water data providers with Creative Commons licensed data
# supplied to the Bureau of Meterology. List built from the
# statements here: http://www.bom.gov.au/water/hrs/copyright.shtml and
# the copyright page here: http://www.bom.gov.au/waterdata/
# List current at 2017-02-24.
# All providers here have supplied their data to the Bureau of Meterology
# under the Creative Commons Attribution 3.0 Australia license:
# http://creativecommons.org/licenses/by/3.0/au/
ProviderID,ProviderName,AttributionStatement
w00002,ACT Icon Water Limited,No attribution required
w00003,Adelaide and Mount Lofty Ranges Natural Resource Management Board,© Adelaide and Mount Lofty Ranges Natural Resource Management Board
w00066,QLD Department of Natural Resources and Mines,© State of Queensland (Department of Natural Resources and Mines)
w00067,NT Department of Land Resource Management,© Northern Territory Government (Department of Land Resource Management)
w00072,TAS Department of Primary Industries Parks Water and Environment,© State of Tasmania (Department of Primary Industries Parks Water and Environment)
w00074,VIC Department of Environment, Land, Water and Planning,© State of Victoria (Department of Environment, Land, Water and Planning)
w00075,ACT Environment and Sustainable Development Directorate,© ACT Environment Protection Authority
w00077,NSW NSW Department of Industry, Skills and Regional Development – DPI Water,© State of NSW (DPI Water)
w00078,SA Department of Environment Water and Natural Resources,© Crown in right of the State of South Australia
w00102 VIC Gippsland and Southern Rural Water Corporation (Southern Rural Water),© Gippsland and Southern Rural Water Corporation (Southern Rural Water)
w00103,QLD Gladstone Area Water Board,© Gladstone Area Water Board
w00129,Hydro-electric Corporation (Hydro Tasmania),© Hydro Tasmania (Hydro-electric Corporation)
w00151,Melbourne Water Corporation (Melbourne Water),© Melbourne Water Corporation (Melbourne Water)
w00209,South Australian Water Corporation (SA Water),© South Australian Water Corporation (SA Water)
w00231,WaterNSW,© WaterNSW

